county,precinct,office,district,party,candidate,votes
Johnson,Gardner 0-07,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,12
Johnson,Gardner 0-07,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,0
Johnson,Gardner 0-08,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,29
Johnson,Gardner 0-08,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,9
Johnson,Gardner 0-09,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,383
Johnson,Gardner 0-09,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,85
Johnson,Gardner 0-10,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,262
Johnson,Gardner 0-10,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,50
Johnson,Gardner 0-12,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,5
Johnson,Gardner 0-12,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,0
Johnson,Gardner 0-13,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,288
Johnson,Gardner 0-13,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,76
Johnson,Gardner 0-14,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,230
Johnson,Gardner 0-14,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,40
Johnson,Gardner Twp 0-01,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,108
Johnson,Gardner Twp 0-01,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,21
Johnson,Gardner Twp 0-02,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,136
Johnson,Gardner Twp 0-02,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,14
Johnson,Gardner Twp 0-04,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,0
Johnson,Gardner Twp 0-04,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,0
Johnson,Gardner Twp 0-05,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,0
Johnson,Gardner Twp 0-05,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,0
Johnson,Gardner Twp 0-07,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,2
Johnson,Gardner Twp 0-07,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,0
Johnson,Gardner Twp 0-08,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,3
Johnson,Gardner Twp 0-08,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,0
Johnson,Gardner Twp 0-09,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,0
Johnson,Gardner Twp 0-09,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,0
Johnson,Gardner Twp 0-10,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,0
Johnson,Gardner Twp 0-10,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,0
Johnson,Gardner Twp 0-11,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,29
Johnson,Gardner Twp 0-11,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,8
Johnson,Twp 0-13,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,0
Johnson,Twp 0-13,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,0
Johnson,Quivira 0-01,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,262
Johnson,Quivira 0-01,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,21
Johnson,Twp 0-01,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,237
Johnson,Twp 0-01,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,30
Johnson,Twp 0-02,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,0
Johnson,Twp 0-02,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,0
Johnson,Twp 0-03,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,2
Johnson,Twp 0-03,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,0
Johnson,Twp 0-01,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,35
Johnson,Twp 0-01,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,9
Johnson,Twp 0-02,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,90
Johnson,Twp 0-02,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,19
Johnson,Hills 0-01,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,235
Johnson,Hills 0-01,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,21
Johnson,Hills 0-02,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,324
Johnson,Hills 0-02,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,33
Johnson,Hills 0-03,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,182
Johnson,Hills 0-03,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,19
Johnson,Hills 0-04,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,336
Johnson,Hills 0-04,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,17
Johnson,Woods 0-01,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,65
Johnson,Woods 0-01,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,4
Johnson,Twp 0-01,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,139
Johnson,Twp 0-01,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,14
Johnson,Twp 0-02,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,17
Johnson,Twp 0-02,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,1
Johnson,Twp 0-03,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,23
Johnson,Twp 0-03,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,2
Johnson,Twp 0-04,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,0
Johnson,Twp 0-04,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,0
Johnson,Twp 0-07,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,1
Johnson,Twp 0-07,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,0
Johnson,Twp 0-08,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,4
Johnson,Twp 0-08,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,0
Johnson,Twp 0-10,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,4
Johnson,Twp 0-10,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,0
Johnson,Twp 0-11,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,0
Johnson,Twp 0-11,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,0
Johnson,Twp 0-14,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,0
Johnson,Twp 0-14,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,0
Johnson,Twp 0-24,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,1
Johnson,Twp 0-24,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,1
Johnson,Twp 0-25,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,2
Johnson,Twp 0-25,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,0
Johnson,Twp 0-26,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,0
Johnson,Twp 0-26,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,0
Johnson,Twp 0-27,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,0
Johnson,Twp 0-27,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,0
Johnson,Twp 0-32,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,4
Johnson,Twp 0-32,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,1
Johnson,Park 1-01,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,419
Johnson,Park 1-01,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,41
Johnson,Park 1-02,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,500
Johnson,Park 1-02,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,39
Johnson,Park 1-03,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,363
Johnson,Park 1-03,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,39
Johnson,Park 1-04,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,123
Johnson,Park 1-04,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,12
Johnson,Park 1-05,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,262
Johnson,Park 1-05,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,35
Johnson,Park 1-06,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,447
Johnson,Park 1-06,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,50
Johnson,Park 1-07,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,447
Johnson,Park 1-07,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,65
Johnson,Park 1-08,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,373
Johnson,Park 1-08,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,56
Johnson,Park 1-09,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,203
